ClaimDate,ClaimYear,ClaimMonth,ClaimDay,ClaimDayOfWeek,ClaimQuarter,ClaimDayOfWeekName
9/22/20,2020,9,22,3,3,Tuesday
9/23/20,2020,9,23,4,3,Wednesday
9/24/20,2020,9,24,5,3,Thursday
9/25/20,2020,9,25,6,3,Friday
9/26/20,2020,9,26,7,3,Saturday
9/27/20,2020,9,27,1,3,Sunday
9/28/20,2020,9,28,2,3,Monday
9/29/20,2020,9,29,3,3,Tuesday
9/30/20,2020,9,30,4,3,Wednesday
10/1/20,2020,10,1,5,4,Thursday
10/2/20,2020,10,2,6,4,Friday
10/3/20,2020,10,3,7,4,Saturday
10/4/20,2020,10,4,1,4,Sunday
10/5/20,2020,10,5,2,4,Monday
10/6/20,2020,10,6,3,4,Tuesday
10/7/20,2020,10,7,4,4,Wednesday
10/8/20,2020,10,8,5,4,Thursday
10/9/20,2020,10,9,6,4,Friday
10/10/20,2020,10,10,7,4,Saturday
10/11/20,2020,10,11,1,4,Sunday
10/12/20,2020,10,12,2,4,Monday
10/13/20,2020,10,13,3,4,Tuesday
10/14/20,2020,10,14,4,4,Wednesday
10/15/20,2020,10,15,5,4,Thursday
10/16/20,2020,10,16,6,4,Friday
10/17/20,2020,10,17,7,4,Saturday
10/18/20,2020,10,18,1,4,Sunday
10/19/20,2020,10,19,2,4,Monday
10/20/20,2020,10,20,3,4,Tuesday
10/21/20,2020,10,21,4,4,Wednesday
10/22/20,2020,10,22,5,4,Thursday
10/23/20,2020,10,23,6,4,Friday
10/24/20,2020,10,24,7,4,Saturday
10/25/20,2020,10,25,1,4,Sunday
10/26/20,2020,10,26,2,4,Monday
10/27/20,2020,10,27,3,4,Tuesday
10/28/20,2020,10,28,4,4,Wednesday
10/29/20,2020,10,29,5,4,Thursday
10/30/20,2020,10,30,6,4,Friday
10/31/20,2020,10,31,7,4,Saturday
11/1/20,2020,11,1,1,4,Sunday
11/2/20,2020,11,2,2,4,Monday
11/3/20,2020,11,3,3,4,Tuesday
11/4/20,2020,11,4,4,4,Wednesday
11/5/20,2020,11,5,5,4,Thursday
11/6/20,2020,11,6,6,4,Friday
11/7/20,2020,11,7,7,4,Saturday
11/8/20,2020,11,8,1,4,Sunday
11/9/20,2020,11,9,2,4,Monday
11/10/20,2020,11,10,3,4,Tuesday
11/11/20,2020,11,11,4,4,Wednesday
11/12/20,2020,11,12,5,4,Thursday
11/13/20,2020,11,13,6,4,Friday
11/14/20,2020,11,14,7,4,Saturday
11/15/20,2020,11,15,1,4,Sunday
11/16/20,2020,11,16,2,4,Monday
11/17/20,2020,11,17,3,4,Tuesday
11/18/20,2020,11,18,4,4,Wednesday
11/19/20,2020,11,19,5,4,Thursday
11/20/20,2020,11,20,6,4,Friday
11/21/20,2020,11,21,7,4,Saturday
11/22/20,2020,11,22,1,4,Sunday
11/23/20,2020,11,23,2,4,Monday
11/24/20,2020,11,24,3,4,Tuesday
11/25/20,2020,11,25,4,4,Wednesday
11/26/20,2020,11,26,5,4,Thursday
11/27/20,2020,11,27,6,4,Friday
11/28/20,2020,11,28,7,4,Saturday
11/29/20,2020,11,29,1,4,Sunday
11/30/20,2020,11,30,2,4,Monday
12/1/20,2020,12,1,3,4,Tuesday
12/2/20,2020,12,2,4,4,Wednesday
12/3/20,2020,12,3,5,4,Thursday
12/4/20,2020,12,4,6,4,Friday
12/5/20,2020,12,5,7,4,Saturday
12/6/20,2020,12,6,1,4,Sunday
12/7/20,2020,12,7,2,4,Monday
12/8/20,2020,12,8,3,4,Tuesday
12/9/20,2020,12,9,4,4,Wednesday
12/10/20,2020,12,10,5,4,Thursday
12/11/20,2020,12,11,6,4,Friday
12/12/20,2020,12,12,7,4,Saturday
12/13/20,2020,12,13,1,4,Sunday
12/14/20,2020,12,14,2,4,Monday
12/15/20,2020,12,15,3,4,Tuesday
12/16/20,2020,12,16,4,4,Wednesday
12/17/20,2020,12,17,5,4,Thursday
12/18/20,2020,12,18,6,4,Friday
12/19/20,2020,12,19,7,4,Saturday
12/20/20,2020,12,20,1,4,Sunday
12/21/20,2020,12,21,2,4,Monday
12/22/20,2020,12,22,3,4,Tuesday
12/23/20,2020,12,23,4,4,Wednesday
12/24/20,2020,12,24,5,4,Thursday
12/25/20,2020,12,25,6,4,Friday
12/26/20,2020,12,26,7,4,Saturday
12/27/20,2020,12,27,1,4,Sunday
12/28/20,2020,12,28,2,4,Monday
12/29/20,2020,12,29,3,4,Tuesday
12/30/20,2020,12,30,4,4,Wednesday
12/31/20,2020,12,31,5,4,Thursday
1/1/21,2021,1,1,6,1,Friday
1/2/21,2021,1,2,7,1,Saturday
1/3/21,2021,1,3,1,1,Sunday
1/4/21,2021,1,4,2,1,Monday
1/5/21,2021,1,5,3,1,Tuesday
1/6/21,2021,1,6,4,1,Wednesday
1/7/21,2021,1,7,5,1,Thursday
1/8/21,2021,1,8,6,1,Friday
1/9/21,2021,1,9,7,1,Saturday
1/10/21,2021,1,10,1,1,Sunday
1/11/21,2021,1,11,2,1,Monday
1/12/21,2021,1,12,3,1,Tuesday
1/13/21,2021,1,13,4,1,Wednesday
1/14/21,2021,1,14,5,1,Thursday
1/15/21,2021,1,15,6,1,Friday
1/16/21,2021,1,16,7,1,Saturday
1/17/21,2021,1,17,1,1,Sunday
1/18/21,2021,1,18,2,1,Monday
1/19/21,2021,1,19,3,1,Tuesday
1/20/21,2021,1,20,4,1,Wednesday
1/21/21,2021,1,21,5,1,Thursday
1/22/21,2021,1,22,6,1,Friday
1/23/21,2021,1,23,7,1,Saturday
1/24/21,2021,1,24,1,1,Sunday
1/25/21,2021,1,25,2,1,Monday
1/26/21,2021,1,26,3,1,Tuesday
1/27/21,2021,1,27,4,1,Wednesday
1/28/21,2021,1,28,5,1,Thursday
1/29/21,2021,1,29,6,1,Friday
1/30/21,2021,1,30,7,1,Saturday
1/31/21,2021,1,31,1,1,Sunday
2/1/21,2021,2,1,2,1,Monday
2/2/21,2021,2,2,3,1,Tuesday
2/3/21,2021,2,3,4,1,Wednesday
2/4/21,2021,2,4,5,1,Thursday
2/5/21,2021,2,5,6,1,Friday
2/6/21,2021,2,6,7,1,Saturday
2/7/21,2021,2,7,1,1,Sunday
2/8/21,2021,2,8,2,1,Monday
2/9/21,2021,2,9,3,1,Tuesday
2/10/21,2021,2,10,4,1,Wednesday
2/11/21,2021,2,11,5,1,Thursday
2/12/21,2021,2,12,6,1,Friday
2/13/21,2021,2,13,7,1,Saturday
2/14/21,2021,2,14,1,1,Sunday
2/15/21,2021,2,15,2,1,Monday
2/16/21,2021,2,16,3,1,Tuesday
2/17/21,2021,2,17,4,1,Wednesday
2/18/21,2021,2,18,5,1,Thursday
2/19/21,2021,2,19,6,1,Friday
2/20/21,2021,2,20,7,1,Saturday
2/21/21,2021,2,21,1,1,Sunday
2/22/21,2021,2,22,2,1,Monday
2/23/21,2021,2,23,3,1,Tuesday
2/24/21,2021,2,24,4,1,Wednesday
2/25/21,2021,2,25,5,1,Thursday
2/26/21,2021,2,26,6,1,Friday
2/27/21,2021,2,27,7,1,Saturday
2/28/21,2021,2,28,1,1,Sunday
3/1/21,2021,3,1,2,1,Monday
3/2/21,2021,3,2,3,1,Tuesday
3/3/21,2021,3,3,4,1,Wednesday
3/4/21,2021,3,4,5,1,Thursday
3/5/21,2021,3,5,6,1,Friday
3/6/21,2021,3,6,7,1,Saturday
3/7/21,2021,3,7,1,1,Sunday
3/8/21,2021,3,8,2,1,Monday
3/9/21,2021,3,9,3,1,Tuesday
3/10/21,2021,3,10,4,1,Wednesday
3/11/21,2021,3,11,5,1,Thursday
3/12/21,2021,3,12,6,1,Friday
3/13/21,2021,3,13,7,1,Saturday
3/14/21,2021,3,14,1,1,Sunday
3/15/21,2021,3,15,2,1,Monday
3/16/21,2021,3,16,3,1,Tuesday
3/17/21,2021,3,17,4,1,Wednesday
3/18/21,2021,3,18,5,1,Thursday
3/19/21,2021,3,19,6,1,Friday
3/20/21,2021,3,20,7,1,Saturday
3/21/21,2021,3,21,1,1,Sunday
3/22/21,2021,3,22,2,1,Monday
3/23/21,2021,3,23,3,1,Tuesday
3/24/21,2021,3,24,4,1,Wednesday
3/25/21,2021,3,25,5,1,Thursday
3/26/21,2021,3,26,6,1,Friday
3/27/21,2021,3,27,7,1,Saturday
3/28/21,2021,3,28,1,1,Sunday
3/29/21,2021,3,29,2,1,Monday
3/30/21,2021,3,30,3,1,Tuesday
3/31/21,2021,3,31,4,1,Wednesday
4/1/21,2021,4,1,5,2,Thursday
4/2/21,2021,4,2,6,2,Friday
4/3/21,2021,4,3,7,2,Saturday
4/4/21,2021,4,4,1,2,Sunday
4/5/21,2021,4,5,2,2,Monday
4/6/21,2021,4,6,3,2,Tuesday
4/7/21,2021,4,7,4,2,Wednesday
4/8/21,2021,4,8,5,2,Thursday
4/9/21,2021,4,9,6,2,Friday
4/10/21,2021,4,10,7,2,Saturday
4/11/21,2021,4,11,1,2,Sunday
4/12/21,2021,4,12,2,2,Monday
4/13/21,2021,4,13,3,2,Tuesday
4/14/21,2021,4,14,4,2,Wednesday
4/15/21,2021,4,15,5,2,Thursday
4/16/21,2021,4,16,6,2,Friday
4/17/21,2021,4,17,7,2,Saturday
4/18/21,2021,4,18,1,2,Sunday
4/19/21,2021,4,19,2,2,Monday
4/20/21,2021,4,20,3,2,Tuesday
4/21/21,2021,4,21,4,2,Wednesday
4/22/21,2021,4,22,5,2,Thursday
4/23/21,2021,4,23,6,2,Friday
4/24/21,2021,4,24,7,2,Saturday
4/25/21,2021,4,25,1,2,Sunday
4/26/21,2021,4,26,2,2,Monday
4/27/21,2021,4,27,3,2,Tuesday
4/28/21,2021,4,28,4,2,Wednesday
4/29/21,2021,4,29,5,2,Thursday
4/30/21,2021,4,30,6,2,Friday
5/1/21,2021,5,1,7,2,Saturday
5/2/21,2021,5,2,1,2,Sunday
5/3/21,2021,5,3,2,2,Monday
5/4/21,2021,5,4,3,2,Tuesday
5/5/21,2021,5,5,4,2,Wednesday
5/6/21,2021,5,6,5,2,Thursday
5/7/21,2021,5,7,6,2,Friday
5/8/21,2021,5,8,7,2,Saturday
5/9/21,2021,5,9,1,2,Sunday
5/10/21,2021,5,10,2,2,Monday
5/11/21,2021,5,11,3,2,Tuesday
5/12/21,2021,5,12,4,2,Wednesday
5/13/21,2021,5,13,5,2,Thursday
5/14/21,2021,5,14,6,2,Friday
5/15/21,2021,5,15,7,2,Saturday
5/16/21,2021,5,16,1,2,Sunday
5/17/21,2021,5,17,2,2,Monday
5/18/21,2021,5,18,3,2,Tuesday
5/19/21,2021,5,19,4,2,Wednesday
5/20/21,2021,5,20,5,2,Thursday
5/21/21,2021,5,21,6,2,Friday
5/22/21,2021,5,22,7,2,Saturday
5/23/21,2021,5,23,1,2,Sunday
5/24/21,2021,5,24,2,2,Monday
5/25/21,2021,5,25,3,2,Tuesday
5/26/21,2021,5,26,4,2,Wednesday
5/27/21,2021,5,27,5,2,Thursday
5/28/21,2021,5,28,6,2,Friday
5/29/21,2021,5,29,7,2,Saturday
5/30/21,2021,5,30,1,2,Sunday
5/31/21,2021,5,31,2,2,Monday
6/1/21,2021,6,1,3,2,Tuesday
6/2/21,2021,6,2,4,2,Wednesday
6/3/21,2021,6,3,5,2,Thursday
6/4/21,2021,6,4,6,2,Friday
6/5/21,2021,6,5,7,2,Saturday
6/6/21,2021,6,6,1,2,Sunday
6/7/21,2021,6,7,2,2,Monday
6/8/21,2021,6,8,3,2,Tuesday
6/9/21,2021,6,9,4,2,Wednesday
6/10/21,2021,6,10,5,2,Thursday
6/11/21,2021,6,11,6,2,Friday
6/12/21,2021,6,12,7,2,Saturday
6/13/21,2021,6,13,1,2,Sunday
6/14/21,2021,6,14,2,2,Monday
6/15/21,2021,6,15,3,2,Tuesday
6/16/21,2021,6,16,4,2,Wednesday
6/17/21,2021,6,17,5,2,Thursday
6/18/21,2021,6,18,6,2,Friday
6/19/21,2021,6,19,7,2,Saturday
6/20/21,2021,6,20,1,2,Sunday
6/21/21,2021,6,21,2,2,Monday
6/22/21,2021,6,22,3,2,Tuesday
6/23/21,2021,6,23,4,2,Wednesday
6/24/21,2021,6,24,5,2,Thursday
6/25/21,2021,6,25,6,2,Friday
6/26/21,2021,6,26,7,2,Saturday
6/27/21,2021,6,27,1,2,Sunday
6/28/21,2021,6,28,2,2,Monday
6/29/21,2021,6,29,3,2,Tuesday
6/30/21,2021,6,30,4,2,Wednesday
7/1/21,2021,7,1,5,3,Thursday
7/2/21,2021,7,2,6,3,Friday
7/3/21,2021,7,3,7,3,Saturday
7/4/21,2021,7,4,1,3,Sunday
7/5/21,2021,7,5,2,3,Monday
7/6/21,2021,7,6,3,3,Tuesday
7/7/21,2021,7,7,4,3,Wednesday
7/8/21,2021,7,8,5,3,Thursday
7/9/21,2021,7,9,6,3,Friday
7/10/21,2021,7,10,7,3,Saturday
7/11/21,2021,7,11,1,3,Sunday
7/12/21,2021,7,12,2,3,Monday
7/13/21,2021,7,13,3,3,Tuesday
7/14/21,2021,7,14,4,3,Wednesday
7/15/21,2021,7,15,5,3,Thursday
7/16/21,2021,7,16,6,3,Friday
7/17/21,2021,7,17,7,3,Saturday
7/18/21,2021,7,18,1,3,Sunday
7/19/21,2021,7,19,2,3,Monday
7/20/21,2021,7,20,3,3,Tuesday
7/21/21,2021,7,21,4,3,Wednesday
7/22/21,2021,7,22,5,3,Thursday
7/23/21,2021,7,23,6,3,Friday
7/24/21,2021,7,24,7,3,Saturday
7/25/21,2021,7,25,1,3,Sunday
7/26/21,2021,7,26,2,3,Monday
7/27/21,2021,7,27,3,3,Tuesday
7/28/21,2021,7,28,4,3,Wednesday
7/29/21,2021,7,29,5,3,Thursday
7/30/21,2021,7,30,6,3,Friday
7/31/21,2021,7,31,7,3,Saturday
8/1/21,2021,8,1,1,3,Sunday
8/2/21,2021,8,2,2,3,Monday
8/3/21,2021,8,3,3,3,Tuesday
8/4/21,2021,8,4,4,3,Wednesday
8/5/21,2021,8,5,5,3,Thursday
8/6/21,2021,8,6,6,3,Friday
8/7/21,2021,8,7,7,3,Saturday
8/8/21,2021,8,8,1,3,Sunday
8/9/21,2021,8,9,2,3,Monday
8/10/21,2021,8,10,3,3,Tuesday
8/11/21,2021,8,11,4,3,Wednesday
8/12/21,2021,8,12,5,3,Thursday
8/13/21,2021,8,13,6,3,Friday
8/14/21,2021,8,14,7,3,Saturday
8/15/21,2021,8,15,1,3,Sunday
8/16/21,2021,8,16,2,3,Monday
8/17/21,2021,8,17,3,3,Tuesday
8/18/21,2021,8,18,4,3,Wednesday
8/19/21,2021,8,19,5,3,Thursday
8/20/21,2021,8,20,6,3,Friday
8/21/21,2021,8,21,7,3,Saturday
8/22/21,2021,8,22,1,3,Sunday
8/23/21,2021,8,23,2,3,Monday
8/24/21,2021,8,24,3,3,Tuesday
8/25/21,2021,8,25,4,3,Wednesday
8/26/21,2021,8,26,5,3,Thursday
8/27/21,2021,8,27,6,3,Friday
8/28/21,2021,8,28,7,3,Saturday
8/29/21,2021,8,29,1,3,Sunday
8/30/21,2021,8,30,2,3,Monday
8/31/21,2021,8,31,3,3,Tuesday
9/1/21,2021,9,1,4,3,Wednesday
9/2/21,2021,9,2,5,3,Thursday
9/3/21,2021,9,3,6,3,Friday
9/4/21,2021,9,4,7,3,Saturday
9/5/21,2021,9,5,1,3,Sunday
9/6/21,2021,9,6,2,3,Monday
9/7/21,2021,9,7,3,3,Tuesday
9/8/21,2021,9,8,4,3,Wednesday
9/9/21,2021,9,9,5,3,Thursday
9/10/21,2021,9,10,6,3,Friday
9/11/21,2021,9,11,7,3,Saturday
9/12/21,2021,9,12,1,3,Sunday
9/13/21,2021,9,13,2,3,Monday
9/14/21,2021,9,14,3,3,Tuesday
9/15/21,2021,9,15,4,3,Wednesday
9/16/21,2021,9,16,5,3,Thursday
9/17/21,2021,9,17,6,3,Friday
9/18/21,2021,9,18,7,3,Saturday
9/19/21,2021,9,19,1,3,Sunday
9/20/21,2021,9,20,2,3,Monday
9/21/21,2021,9,21,3,3,Tuesday
9/22/21,2021,9,22,4,3,Wednesday
9/23/21,2021,9,23,5,3,Thursday
9/24/21,2021,9,24,6,3,Friday
9/25/21,2021,9,25,7,3,Saturday
9/26/21,2021,9,26,1,3,Sunday
9/27/21,2021,9,27,2,3,Monday
9/28/21,2021,9,28,3,3,Tuesday
9/29/21,2021,9,29,4,3,Wednesday
9/30/21,2021,9,30,5,3,Thursday
10/1/21,2021,10,1,6,4,Friday
10/2/21,2021,10,2,7,4,Saturday
10/3/21,2021,10,3,1,4,Sunday
10/4/21,2021,10,4,2,4,Monday
10/5/21,2021,10,5,3,4,Tuesday
10/6/21,2021,10,6,4,4,Wednesday
10/7/21,2021,10,7,5,4,Thursday
10/8/21,2021,10,8,6,4,Friday
10/9/21,2021,10,9,7,4,Saturday
10/10/21,2021,10,10,1,4,Sunday
10/11/21,2021,10,11,2,4,Monday
10/12/21,2021,10,12,3,4,Tuesday
10/13/21,2021,10,13,4,4,Wednesday
10/14/21,2021,10,14,5,4,Thursday
10/15/21,2021,10,15,6,4,Friday
10/16/21,2021,10,16,7,4,Saturday
10/17/21,2021,10,17,1,4,Sunday
10/18/21,2021,10,18,2,4,Monday
10/19/21,2021,10,19,3,4,Tuesday
10/20/21,2021,10,20,4,4,Wednesday
10/21/21,2021,10,21,5,4,Thursday
10/22/21,2021,10,22,6,4,Friday
10/23/21,2021,10,23,7,4,Saturday
10/24/21,2021,10,24,1,4,Sunday
10/25/21,2021,10,25,2,4,Monday
10/26/21,2021,10,26,3,4,Tuesday
10/27/21,2021,10,27,4,4,Wednesday
10/28/21,2021,10,28,5,4,Thursday
10/29/21,2021,10,29,6,4,Friday
10/30/21,2021,10,30,7,4,Saturday
10/31/21,2021,10,31,1,4,Sunday
11/1/21,2021,11,1,2,4,Monday
11/2/21,2021,11,2,3,4,Tuesday
11/3/21,2021,11,3,4,4,Wednesday
11/4/21,2021,11,4,5,4,Thursday
11/5/21,2021,11,5,6,4,Friday
11/6/21,2021,11,6,7,4,Saturday
11/7/21,2021,11,7,1,4,Sunday
11/8/21,2021,11,8,2,4,Monday
11/9/21,2021,11,9,3,4,Tuesday
11/10/21,2021,11,10,4,4,Wednesday
11/11/21,2021,11,11,5,4,Thursday
11/12/21,2021,11,12,6,4,Friday
11/13/21,2021,11,13,7,4,Saturday
11/14/21,2021,11,14,1,4,Sunday
11/15/21,2021,11,15,2,4,Monday
11/16/21,2021,11,16,3,4,Tuesday
11/17/21,2021,11,17,4,4,Wednesday
11/18/21,2021,11,18,5,4,Thursday
11/19/21,2021,11,19,6,4,Friday
11/20/21,2021,11,20,7,4,Saturday
11/21/21,2021,11,21,1,4,Sunday
11/22/21,2021,11,22,2,4,Monday
11/23/21,2021,11,23,3,4,Tuesday
11/24/21,2021,11,24,4,4,Wednesday
11/25/21,2021,11,25,5,4,Thursday
11/26/21,2021,11,26,6,4,Friday
11/27/21,2021,11,27,7,4,Saturday
11/28/21,2021,11,28,1,4,Sunday
11/29/21,2021,11,29,2,4,Monday
11/30/21,2021,11,30,3,4,Tuesday
12/1/21,2021,12,1,4,4,Wednesday
12/2/21,2021,12,2,5,4,Thursday
12/3/21,2021,12,3,6,4,Friday
12/4/21,2021,12,4,7,4,Saturday
12/5/21,2021,12,5,1,4,Sunday
12/6/21,2021,12,6,2,4,Monday
12/7/21,2021,12,7,3,4,Tuesday
12/8/21,2021,12,8,4,4,Wednesday
12/9/21,2021,12,9,5,4,Thursday
12/10/21,2021,12,10,6,4,Friday
12/11/21,2021,12,11,7,4,Saturday
12/12/21,2021,12,12,1,4,Sunday
12/13/21,2021,12,13,2,4,Monday
12/14/21,2021,12,14,3,4,Tuesday
12/15/21,2021,12,15,4,4,Wednesday
12/16/21,2021,12,16,5,4,Thursday
12/17/21,2021,12,17,6,4,Friday
12/18/21,2021,12,18,7,4,Saturday
12/19/21,2021,12,19,1,4,Sunday
12/20/21,2021,12,20,2,4,Monday
12/21/21,2021,12,21,3,4,Tuesday
12/22/21,2021,12,22,4,4,Wednesday
12/23/21,2021,12,23,5,4,Thursday
12/24/21,2021,12,24,6,4,Friday
12/25/21,2021,12,25,7,4,Saturday
12/26/21,2021,12,26,1,4,Sunday
12/27/21,2021,12,27,2,4,Monday
12/28/21,2021,12,28,3,4,Tuesday
12/29/21,2021,12,29,4,4,Wednesday
12/30/21,2021,12,30,5,4,Thursday
12/31/21,2021,12,31,6,4,Friday
1/1/22,2022,1,1,7,1,Saturday
1/2/22,2022,1,2,1,1,Sunday
1/3/22,2022,1,3,2,1,Monday
1/4/22,2022,1,4,3,1,Tuesday
1/5/22,2022,1,5,4,1,Wednesday
1/6/22,2022,1,6,5,1,Thursday
1/7/22,2022,1,7,6,1,Friday
1/8/22,2022,1,8,7,1,Saturday
1/9/22,2022,1,9,1,1,Sunday
1/10/22,2022,1,10,2,1,Monday
1/11/22,2022,1,11,3,1,Tuesday
1/12/22,2022,1,12,4,1,Wednesday
1/13/22,2022,1,13,5,1,Thursday
1/14/22,2022,1,14,6,1,Friday
1/15/22,2022,1,15,7,1,Saturday
1/16/22,2022,1,16,1,1,Sunday
1/17/22,2022,1,17,2,1,Monday
1/18/22,2022,1,18,3,1,Tuesday
1/19/22,2022,1,19,4,1,Wednesday
1/20/22,2022,1,20,5,1,Thursday
1/21/22,2022,1,21,6,1,Friday
1/22/22,2022,1,22,7,1,Saturday
1/23/22,2022,1,23,1,1,Sunday
1/24/22,2022,1,24,2,1,Monday
1/25/22,2022,1,25,3,1,Tuesday
1/26/22,2022,1,26,4,1,Wednesday
1/27/22,2022,1,27,5,1,Thursday
1/28/22,2022,1,28,6,1,Friday
1/29/22,2022,1,29,7,1,Saturday
1/30/22,2022,1,30,1,1,Sunday
1/31/22,2022,1,31,2,1,Monday
2/1/22,2022,2,1,3,1,Tuesday
2/2/22,2022,2,2,4,1,Wednesday
2/3/22,2022,2,3,5,1,Thursday
2/4/22,2022,2,4,6,1,Friday
2/5/22,2022,2,5,7,1,Saturday
2/6/22,2022,2,6,1,1,Sunday
2/7/22,2022,2,7,2,1,Monday
2/8/22,2022,2,8,3,1,Tuesday
2/9/22,2022,2,9,4,1,Wednesday
2/10/22,2022,2,10,5,1,Thursday
2/11/22,2022,2,11,6,1,Friday
2/12/22,2022,2,12,7,1,Saturday
2/13/22,2022,2,13,1,1,Sunday
2/14/22,2022,2,14,2,1,Monday
2/15/22,2022,2,15,3,1,Tuesday
2/16/22,2022,2,16,4,1,Wednesday
2/17/22,2022,2,17,5,1,Thursday
2/18/22,2022,2,18,6,1,Friday
2/19/22,2022,2,19,7,1,Saturday
2/20/22,2022,2,20,1,1,Sunday
2/21/22,2022,2,21,2,1,Monday
2/22/22,2022,2,22,3,1,Tuesday
2/23/22,2022,2,23,4,1,Wednesday
2/24/22,2022,2,24,5,1,Thursday
2/25/22,2022,2,25,6,1,Friday
2/26/22,2022,2,26,7,1,Saturday
2/27/22,2022,2,27,1,1,Sunday
2/28/22,2022,2,28,2,1,Monday
3/1/22,2022,3,1,3,1,Tuesday
3/2/22,2022,3,2,4,1,Wednesday
3/3/22,2022,3,3,5,1,Thursday
3/4/22,2022,3,4,6,1,Friday
3/5/22,2022,3,5,7,1,Saturday
3/6/22,2022,3,6,1,1,Sunday
3/7/22,2022,3,7,2,1,Monday
3/8/22,2022,3,8,3,1,Tuesday
3/9/22,2022,3,9,4,1,Wednesday
3/10/22,2022,3,10,5,1,Thursday
3/11/22,2022,3,11,6,1,Friday
3/12/22,2022,3,12,7,1,Saturday
3/13/22,2022,3,13,1,1,Sunday
3/14/22,2022,3,14,2,1,Monday
3/15/22,2022,3,15,3,1,Tuesday
3/16/22,2022,3,16,4,1,Wednesday
3/17/22,2022,3,17,5,1,Thursday
3/18/22,2022,3,18,6,1,Friday
3/19/22,2022,3,19,7,1,Saturday
3/20/22,2022,3,20,1,1,Sunday
3/21/22,2022,3,21,2,1,Monday
3/22/22,2022,3,22,3,1,Tuesday
3/23/22,2022,3,23,4,1,Wednesday
3/24/22,2022,3,24,5,1,Thursday
3/25/22,2022,3,25,6,1,Friday
3/26/22,2022,3,26,7,1,Saturday
3/27/22,2022,3,27,1,1,Sunday
3/28/22,2022,3,28,2,1,Monday
3/29/22,2022,3,29,3,1,Tuesday
3/30/22,2022,3,30,4,1,Wednesday
3/31/22,2022,3,31,5,1,Thursday
4/1/22,2022,4,1,6,2,Friday
4/2/22,2022,4,2,7,2,Saturday
4/3/22,2022,4,3,1,2,Sunday
4/4/22,2022,4,4,2,2,Monday
4/5/22,2022,4,5,3,2,Tuesday
4/6/22,2022,4,6,4,2,Wednesday
4/7/22,2022,4,7,5,2,Thursday
4/8/22,2022,4,8,6,2,Friday
4/9/22,2022,4,9,7,2,Saturday
4/10/22,2022,4,10,1,2,Sunday
4/11/22,2022,4,11,2,2,Monday
4/12/22,2022,4,12,3,2,Tuesday
4/13/22,2022,4,13,4,2,Wednesday
4/14/22,2022,4,14,5,2,Thursday
4/15/22,2022,4,15,6,2,Friday
4/16/22,2022,4,16,7,2,Saturday
4/17/22,2022,4,17,1,2,Sunday
4/18/22,2022,4,18,2,2,Monday
4/19/22,2022,4,19,3,2,Tuesday
4/20/22,2022,4,20,4,2,Wednesday
4/21/22,2022,4,21,5,2,Thursday
4/22/22,2022,4,22,6,2,Friday
4/23/22,2022,4,23,7,2,Saturday
4/24/22,2022,4,24,1,2,Sunday
4/25/22,2022,4,25,2,2,Monday
4/26/22,2022,4,26,3,2,Tuesday
4/27/22,2022,4,27,4,2,Wednesday
4/28/22,2022,4,28,5,2,Thursday
4/29/22,2022,4,29,6,2,Friday
4/30/22,2022,4,30,7,2,Saturday
5/1/22,2022,5,1,1,2,Sunday
5/2/22,2022,5,2,2,2,Monday
5/3/22,2022,5,3,3,2,Tuesday
5/4/22,2022,5,4,4,2,Wednesday
5/5/22,2022,5,5,5,2,Thursday
5/6/22,2022,5,6,6,2,Friday
5/7/22,2022,5,7,7,2,Saturday
5/8/22,2022,5,8,1,2,Sunday
5/9/22,2022,5,9,2,2,Monday
5/10/22,2022,5,10,3,2,Tuesday
5/11/22,2022,5,11,4,2,Wednesday
5/12/22,2022,5,12,5,2,Thursday
5/13/22,2022,5,13,6,2,Friday
5/14/22,2022,5,14,7,2,Saturday
5/15/22,2022,5,15,1,2,Sunday
5/16/22,2022,5,16,2,2,Monday
5/17/22,2022,5,17,3,2,Tuesday
5/18/22,2022,5,18,4,2,Wednesday
5/19/22,2022,5,19,5,2,Thursday
5/20/22,2022,5,20,6,2,Friday
5/21/22,2022,5,21,7,2,Saturday
5/22/22,2022,5,22,1,2,Sunday
5/23/22,2022,5,23,2,2,Monday
5/24/22,2022,5,24,3,2,Tuesday
5/25/22,2022,5,25,4,2,Wednesday
5/26/22,2022,5,26,5,2,Thursday
5/27/22,2022,5,27,6,2,Friday
5/28/22,2022,5,28,7,2,Saturday
5/29/22,2022,5,29,1,2,Sunday
5/30/22,2022,5,30,2,2,Monday
5/31/22,2022,5,31,3,2,Tuesday
6/1/22,2022,6,1,4,2,Wednesday
6/2/22,2022,6,2,5,2,Thursday
6/3/22,2022,6,3,6,2,Friday
6/4/22,2022,6,4,7,2,Saturday
6/5/22,2022,6,5,1,2,Sunday
6/6/22,2022,6,6,2,2,Monday
6/7/22,2022,6,7,3,2,Tuesday
6/8/22,2022,6,8,4,2,Wednesday
6/9/22,2022,6,9,5,2,Thursday
6/10/22,2022,6,10,6,2,Friday
6/11/22,2022,6,11,7,2,Saturday
6/12/22,2022,6,12,1,2,Sunday
6/13/22,2022,6,13,2,2,Monday
6/14/22,2022,6,14,3,2,Tuesday
6/15/22,2022,6,15,4,2,Wednesday
6/16/22,2022,6,16,5,2,Thursday
